,w,tc,stc,2010_7,2010,2013_7,2013,2016_7,2016,2010,2011,2012,2013,2014,2015,2006,2007,2008
639,gar,2,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1
640,downscal,2,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1
641,cutan_leishmaniasi,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
642,leishmania_major,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
643,leishmania_killicki,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
644,risk_map,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
645,social_vulner_index,14,2,0,0,2,0,2,2,2,2,2,0,0,0,2,2,2
646,elder,18,2,0,0,2,2,2,2,2,2,0,0,0,0,2,2,2
647,hong_kong,12,0,0,18,0,18,0,18,0,0,0,0,0,0,0,0,0
648,new_york_citi,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
649,crisi_2007,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
650,hazus,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
651,fragil,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
652,morphometri,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
653,soil_eros_suscept,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
654,aster,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
655,ir_liss_iii,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
656,kashmir_himalaya,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
657,underground_mine,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
658,build_site_categori,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
659,subsid_basin,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
660,petrvald_czech_republ,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
661,port_vulner,4,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1
662,flood_disast,25,2,0,0,0,0,2,2,2,2,2,2,0,0,2,2,2
663,improv_set_pair_analysi,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
664,variabl_fuzzi_set_theori,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
665,central_liaon_provinc,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
666,disast_respons,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
667,victoria,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
668,british_columbia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
669,environment_educ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
670,kosovo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
671,high_school,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
672,educ_for_sustain_develop,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
673,binghamton_geomorpholog_symposium,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
674,histori_of_geomorpholog,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
675,gender,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
676,academ_affili,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
677,menopaus,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
678,smoke,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
679,bodi_mass_index,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680,physic_activ,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
681,socioeconom_factor,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
682,systemat_review,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
683,meta_analysi,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
684,fault_zone,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
685,park,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
686,regul,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
687,soil_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688,acoust_emiss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
689,hidden_markov_model,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
690,poisson_process,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
691,em_algorithm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
692,bilecik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
693,build,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
694,lahar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
695,aquat_toxic,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
696,frack,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
697,water_qu_stressor,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
698,ecolog_risk_assess,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
699,adapt,182,2,3,3,2,3,2,5,2,2,2,0,0,0,2,2,2
700,geographi,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
701,vulner_matrix,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
702,russia,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
703,distribut_and_divers_of_natural_foc_diseas,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
704,spatiotempor_dynam,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
705,medico_geograph_atlas,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
706,health_promot,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
707,health_outcom,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
708,prevent,4,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1
709,integr_disast_resili,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
710,self_manag,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
711,veget_regener,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
712,landsat_tm,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
713,fire,109,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0
714,aster_dem,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
715,greec,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
716,demographic_econom_indic,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1
717,serbia,15,3,0,0,0,0,3,3,3,3,3,3,0,0,3,3,3
718,space_tim_inform_represent,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
719,sustain_system,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
720,ontolog,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
721,metal,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
722,spatial_distribut,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
723,health_risk,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
724,dust,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,nurseri,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,primari_school,25,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1
727,transport,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
728,dendrochronolog,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
729,fire_weather,18,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1
730,determin_of_plant_communiti_divers_and_structur,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
731,scandinavia,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
732,fire_risk,18,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1
733,natur_disturb,19,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1
734,climat_variat,18,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1
735,geograph_weight_logist_regress_gwlr,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
736,spatial_analysi,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
737,landslid_suscept_map,53,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1
738,ground_movement,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
739,natur_park,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
740,explos_erupt,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
741,tempor_analysi,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
742,territori_system,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
743,map_collect,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
744,map_chrono_spati_data,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
745,past_event,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
746,lava_flow,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
747,volcan_hazard,69,0,0,4,0,4,0,4,0,0,0,0,0,0,0,0,0
748,rural_hous,6,2,0,0,0,0,2,2,2,2,2,2,0,0,2,2,2
749,3s_technolog,6,2,0,0,0,0,2,2,2,2,2,2,0,0,2,2,2
750,eros,44,4,0,0,4,4,4,4,4,0,0,0,0,0,4,4,4
751,denud,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
752,mass_wast,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
753,tierra_blanca_joven,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
754,unsatur,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
755,integr_risk_zone,6,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1
756,drought_and_waterlog_disast,6,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1
757,fuzzi_comprehens_evalu,6,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1
758,anhui,6,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1
759,soil_eros,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760,rusl,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
761,caijiamiao_watersh,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762,storm_surg,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
763,bottom_friction,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
764,model_uncertainti,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
765,open_space,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766,critic_infrastructur,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
767,geograph_healthcar,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
768,interdepend,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
769,interdepend_measur,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
770,risk_formul,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
771,structur_complex,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
772,interconnect,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
773,ensembl_model,45,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1
774,south_korea,45,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1
775,genet_program,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
776,artifici_neural_network,74,2,0,0,1,0,2,2,2,2,2,1,0,0,2,2,2
777,zonouz_plain,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
778,environment_anthropolog,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
779,participatori_map,30,3,3,0,3,3,3,3,0,0,0,0,0,0,3,3,3
780,switzerland,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
781,histor_remot_sens_data_interpret,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
782,digit_shorelin_analysi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
783,beach_eros_rate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
784,real_time_kinemat_rtk_gps_applic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
785,geograph_analysi,7,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1
786,latent_risk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
787,toxic_chemic,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
788,earthquak_earli_warn,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
789,service_ori_architectur,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
790,nois_model,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
791,hazard_and_vulner_analysi_for_railway_line,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
792,seismic_risk,16,2,0,0,2,2,2,2,2,2,0,0,0,0,2,2,2
793,ground_motion,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
794,liquefact,16,0,4,4,0,4,0,4,0,0,0,0,0,0,0,0,0
795,inventori,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
796,calabria,50,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1
797,synthet_apertur_radar_sar,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
798,sar_interferometri_insar,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
799,differenti_sar_interferometri_dinsar,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,small_baselin_subset_sbas,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801,himalayan_frontal_fault_hff,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
802,educ_system,2,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1
803,geographi_teach,2,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1
804,knowledg_transfer,2,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1
805,infov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
806,normalis_burn_ratio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
807,multi_risk_assess,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
808,spatiotempor_approach,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
809,philippin,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
810,likelihood_ratio,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
811,adapt_capac,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
812,differenti_vulner,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
813,educ,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
814,human_capit,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
815,post_disast_reconstruct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
816,assembl_hous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
817,build_model,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
818,construct_project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
819,transit_hous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820,precipit,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
821,urban_develop,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
822,oregon,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
823,hec_hm,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
824,urban_environment_qualiti_ueq,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
825,physic_and_built_environ,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
826,port_au_princ,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
827,develop,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
828,system_theori,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
829,context,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
830,multi_hazard,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
831,shelter_capac,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
832,tele,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
833,geostatist_method,12,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1
834,hazard_of_place,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
835,sea_level_rise,59,3,3,0,3,3,3,3,0,0,0,0,0,0,3,3,3
836,hyperspectr_remot_sens,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
837,genet_algorithm,22,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1
838,bark_beetl_infest,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
839,svm_classif,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
840,featur_select,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,tree_mortal_map,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
842,agricultur_drought,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
843,meteorolog_drought,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
844,gis_and_remot_sens,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
845,canakkal_citi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
846,disast_risk_analysi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
847,physic_vulner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
848,sustain_communiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
849,social_vulner_indic,11,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1
850,ao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
851,gi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852,ip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
853,trip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
854,wto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
855,ib,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
856,uspto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
857,ppv_&_fra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
858,glacial_lake_inventori,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
859,indian_himalaya,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860,glacial_lake_outburst_flood_glof,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
861,scenario_model,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862,basement,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
863,multi_hazard_risk_assess,9,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1
864,inform_diffus_theori,9,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1
865,human_life_loss,9,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1
866,yangtz_river_delta,9,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1
867,ensembl,49,5,0,0,5,0,5,5,5,5,5,0,0,0,5,5,5
868,remot_sens_rs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
869,floodscap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
870,piemont,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871,space_mak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
872,place_mak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
873,induc_earthquak,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
874,inject_well,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
875,energi_polici,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
876,earthscop_usarray,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
877,transit,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
878,livelihood,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
879,participatori_rural_apprais,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
880,socio_ecolog_system,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
881,cross_valid,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
882,geoheritag_site,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
883,geoconserv,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
884,digit_technolog,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
885,terrestri_lidar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
886,sediment_disast,3,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1
887,genet_adapt_neural_network,3,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1
888,satellit_imag_classif,3,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1
889,princip_compon_analysi,80,1,5,5,6,5,1,6,1,1,1,0,0,0,6,6,1
890,flood_manag,30,3,0,0,3,0,3,3,3,3,3,0,0,0,3,3,3
891,flood_hazard_analysi,30,3,0,0,3,0,3,3,3,3,3,0,0,0,3,3,3
892,heurist,15,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1
893,bivari_statist_index,15,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1
894,nepal,15,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1
895,salin,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
896,geochem_process,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
897,ionic_ratio,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
898,geochem_model,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899,satur_index,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,gujarat,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
901,place,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
902,social_contact,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
903,urban_terror,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
904,vulner_awar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
905,hazard_cours,3,0,3,3,3,3,0,3,0,0,0,0,0,0,3,3,3
906,coastal_storm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
907,activ_learn,2,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1
908,gis_applic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
909,colleg_student,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
910,geograph_differ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
911,gender_differ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
912,feasibl_general_least_squar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
913,natur_conjug_prior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
914,non_inform_prior_estim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
915,haiti_earthquak,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
916,intern_displac_person,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917,logist_predict,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
918,idp_camp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
919,catastroph,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
920,neocatastroph,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
921,disast_scienc,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
922,iczm,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
923,territori_plan,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
924,monothemat_index,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
925,synthet_index,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
926,sele_coastal_plain,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
927,southern_itali,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
928,coordin,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
929,denver,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
930,region_risk,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
931,seismic_awar,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
932,global_environment_justic,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
933,global_time,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
934,earth_process,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
935,coastal_hazard,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
936,coastal_manag,44,2,1,0,2,1,2,2,1,1,1,0,0,0,2,2,2
937,no_build_area,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
938,setback,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
939,shorefront,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
940,contextu_of_indic,11,2,0,0,2,0,2,2,2,2,2,0,0,0,2,2,2
941,factor_analysi,11,2,0,0,2,0,2,2,2,2,2,0,0,0,2,2,2
942,vulner_assess,29,3,0,0,3,2,3,3,3,3,1,0,0,0,3,3,3
943,oil_spill_pollut,8,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1
944,portug,8,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1
945,natur_risk,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
946,anthropogen_risk,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
947,satellit_imag,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
948,cultur_heritag_conserv,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
949,disast_risk_index,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
950,hazard_identif,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
951,participatori_risk_assess,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
952,coastal_area,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
953,physic_process_factor,40,2,0,0,2,0,2,2,2,2,2,0,0,0,2,2,2
954,natur_hazard_map,40,2,0,0,2,0,2,2,2,2,2,0,0,0,2,2,2
955,uncertainti,57,2,0,0,2,0,2,2,2,2,2,0,0,0,2,2,2
956,ecolog_manifest,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
957,slope_instabl_indic,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
958,alnus_nepalensi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
959,habitat_affin,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
960,eco_friend_method,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
